stamp,x,y,z,method,accum,voxel_d,proc_ms
1739296851.234808,3.36210,2.35298,0.02869,p2p[d=0.03],1,0.030,24.38
1739296851.344408,3.36563,2.35392,0.03181,p2p[d=0.03],1,0.030,42.23
1739296851.457375,3.36895,2.35871,0.03020,p2p[d=0.03],1,0.030,39.64
1739296851.579386,3.36828,2.36633,0.03168,p2p[d=0.03],1,0.030,57.25
1739296851.696083,3.36428,2.36701,0.03180,p2p[d=0.03],1,0.030,27.42
1739296851.818272,3.35747,2.37467,0.02916,p2p[d=0.03],1,0.030,22.33
1739296851.940438,3.34403,2.37323,0.03220,p2p[d=0.03],1,0.030,25.60
1739296852.065944,3.33379,2.37829,0.03104,p2p[d=0.03],1,0.030,33.98
1739296852.185357,3.32666,2.38386,0.03163,p2p[d=0.03],1,0.030,22.45
1739296852.296278,3.31811,2.38273,0.03209,p2p[d=0.03],1,0.030,29.98
1739296852.413475,3.30359,2.38569,0.03201,p2p[d=0.03],1,0.030,28.89
1739296852.538227,3.28913,2.38018,0.03252,p2p[d=0.03],1,0.030,40.20
1739296852.653463,3.27150,2.36667,0.03314,p2p[d=0.03],1,0.030,29.67
1739296852.763511,3.25589,2.35198,0.03499,p2p[d=0.03],1,0.030,23.75
1739296852.888730,3.23314,2.33918,0.03816,p2p[d=0.03],1,0.030,29.38
1739296853.019139,3.20549,2.32921,0.03792,p2p[d=0.03],1,0.030,23.52
1739296853.130409,3.18116,2.32311,0.03745,p2p[d=0.03],1,0.030,23.62
1739296853.250612,3.15766,2.30601,0.03462,p2p[d=0.03],1,0.030,24.13
1739296853.374217,3.12213,2.29105,0.03199,p2p[d=0.03],1,0.030,34.06
1739296970.174844,3.12213,2.29105,0.03199,skip_degen(hold),1,0.030,27.90
1739296970.290216,2.87010,2.12174,0.51309,p2p[d=0.03],1,0.030,472.31
1739296970.407291,2.74421,2.31399,0.21116,p2p[d=0.03],1,0.030,17.51
